"rep_id","n_input","beta","n_cat","effect_size_fast","p_value_fast","effect_size_nca","p_value_nca","nca_error"
215,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
216,500,0.4,5,0.0625,0.010989010989011,0.0625,0.00599400599400599,NA
217,500,0.4,5,0.0625,0.016983016983017,0.0625,0.00599400599400599,NA
218,500,0.4,5,0.0625,0.043956043956044,0.0625,0.0549450549450549,NA
219,500,0.4,5,0.0625,0.016983016983017,0.0625,0.023976023976024,NA
220,500,0.4,5,0.0625,0.00699300699300699,0.0625,0.00599400599400599,NA
221,500,0.4,5,0.0625,0.015984015984016,0.0625,0.016983016983017,NA
222,500,0.4,5,0.0625,0.021978021978022,0.0625,0.02997002997003,NA
223,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
224,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
225,500,0.4,5,0.0625,0.026973026973027,0.0625,0.03996003996004,NA
226,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
227,500,0.4,5,0.0625,0.017982017982018,0.0625,0.017982017982018,NA
228,500,0.4,5,0.0625,0.023976023976024,0.0625,0.021978021978022,NA
229,500,0.4,5,0.0625,0.033966033966034,0.0625,0.023976023976024,NA
230,500,0.4,5,0.0625,0.024975024975025,0.0625,0.025974025974026,NA
231,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
232,500,0.4,5,0.0625,0.013986013986014,0.0625,0.028971028971029,NA
233,500,0.4,5,0.0625,0.012987012987013,0.0625,0.014985014985015,NA
234,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
235,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
236,500,0.4,5,0.0625,0.00599400599400599,0.0625,0.00699300699300699,NA
237,500,0.4,5,0,1,0,1,NA
238,500,0.4,5,0.0625,0.046953046953047,0.0625,0.048951048951049,NA
239,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
240,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
241,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
242,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
243,500,0.4,5,0.0625,0.022977022977023,0.0625,0.024975024975025,NA
244,500,0.4,5,0.0625,0.027972027972028,0.0625,0.032967032967033,NA
245,500,0.4,5,0.0625,0.022977022977023,0.0625,0.032967032967033,NA
246,500,0.4,5,0.0625,0.012987012987013,0.0625,0.013986013986014,NA
247,500,0.4,5,0,1,0,1,NA
248,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
249,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
